Encryption:
FileSize(bits),KeySize(bits),Mode,Duration(secs)
128,128,CBC,76.14
128,128,CFB,44.33
128,128,ECB,64.53
128,128,GCM,75.34
128,128,OFB,47.49
128,192,CBC,33.28
128,192,CFB,29.28
128,192,ECB,30.38
128,192,GCM,37.38
128,192,OFB,32.61
128,256,CBC,23.25
128,256,CFB,20.97
128,256,ECB,22.77
128,256,GCM,31.76
128,256,OFB,21.92
256,128,CBC,26.90
256,128,CFB,24.79
256,128,ECB,24.33
256,128,GCM,37.19
256,128,OFB,24.43
256,192,CBC,44.27
256,192,CFB,60.81
256,192,ECB,40.45
256,192,GCM,67.67
256,192,OFB,43.09
256,256,CBC,25.46
256,256,CFB,24.88
256,256,ECB,26.80
256,256,GCM,33.63
256,256,OFB,24.08
512,128,CBC,27.69
512,128,CFB,25.07
512,128,ECB,27.79
512,128,GCM,30.29
512,128,OFB,23.65
512,192,CBC,25.37
512,192,CFB,23.86
512,192,ECB,23.83
512,192,GCM,30.16
512,192,OFB,24.23
512,256,CBC,24.90
512,256,CFB,27.19
512,256,ECB,24.78
512,256,GCM,28.99
512,256,OFB,24.90
Decryption:
FileSize(bits),KeySize(bits),Mode,Duration(secs)
128,128,CBC,10.69
128,128,CFB,2.62
128,128,ECB,8.42
128,128,GCM,28.64
128,128,OFB,4.10
128,192,CBC,9.49
128,192,CFB,1.71
128,192,ECB,5.18
128,192,GCM,17.06
128,192,OFB,0.85
128,256,CBC,1.87
128,256,CFB,0.52
128,256,ECB,1.83
128,256,GCM,8.50
128,256,OFB,0.62
256,128,CBC,1.98
256,128,CFB,0.60
256,128,ECB,2.27
256,128,GCM,6.49
256,128,OFB,0.77
256,192,CBC,1.52
256,192,CFB,0.75
256,192,ECB,1.34
256,192,GCM,8.37
256,192,OFB,0.70
256,256,CBC,1.64
256,256,CFB,0.62
256,256,ECB,1.39
256,256,GCM,8.75
256,256,OFB,0.61
512,128,CBC,1.98
512,128,CFB,0.91
512,128,ECB,1.49
512,128,GCM,4.62
512,128,OFB,0.91
512,192,CBC,2.10
512,192,CFB,0.91
512,192,ECB,1.62
512,192,GCM,4.94
512,192,OFB,0.97
512,256,CBC,2.25
512,256,CFB,1.36
512,256,ECB,1.89
512,256,GCM,4.92
512,256,OFB,1.09
Encryption:
FileSize(bits),KeySize(bits),Mode,Duration(secs)
128,128,CBC,71.86
128,128,CFB,32.07
128,128,CTR,28.84
128,128,ECB,57.45
128,128,GCM,86.23
128,128,OFB,38.59
128,192,CBC,31.59
128,192,CFB,24.50
128,192,CTR,30.15
128,192,ECB,28.81
128,192,GCM,38.71
128,192,OFB,23.83
128,256,CBC,28.10
128,256,CFB,24.20
128,256,CTR,26.04
128,256,ECB,24.28
128,256,GCM,38.62
128,256,OFB,24.74
256,128,CBC,26.17
256,128,CFB,24.92
256,128,CTR,49.46
256,128,ECB,24.63
256,128,GCM,63.89
256,128,OFB,27.03
256,192,CBC,26.16
256,192,CFB,24.57
256,192,CTR,24.15
256,192,ECB,29.32
256,192,GCM,31.90
256,192,OFB,28.39
256,256,CBC,26.23
256,256,CFB,29.29
256,256,CTR,30.35
256,256,ECB,29.26
256,256,GCM,33.98
256,256,OFB,29.12
512,128,CBC,29.67
512,128,CFB,29.22
512,128,CTR,33.00
512,128,ECB,31.97
512,128,GCM,45.41
512,128,OFB,28.54
512,192,CBC,38.22
512,192,CFB,33.91
512,192,CTR,37.25
512,192,ECB,36.19
512,192,GCM,42.91
512,192,OFB,32.91
512,256,CBC,36.42
512,256,CFB,40.99
512,256,CTR,34.33
512,256,ECB,38.90
512,256,GCM,47.92
512,256,OFB,34.51
Decryption:
FileSize(bits),KeySize(bits),Mode,Duration(secs)
128,128,CBC,10.46
128,128,CFB,2.40
128,128,CTR,2.20
128,128,ECB,8.90
128,128,GCM,40.93
128,128,OFB,2.98
128,192,CBC,9.93
128,192,CFB,2.00
128,192,CTR,1.75
128,192,ECB,5.27
128,192,GCM,12.42
128,192,OFB,0.98
128,256,CBC,3.08
128,256,CFB,0.70
128,256,CTR,0.84
128,256,ECB,1.67
128,256,GCM,11.44
128,256,OFB,0.80
256,128,CBC,1.86
256,128,CFB,0.59
256,128,CTR,0.75
256,128,ECB,2.45
256,128,GCM,8.96
256,128,OFB,0.57
256,192,CBC,1.59
256,192,CFB,0.62
256,192,CTR,0.72
256,192,ECB,1.84
256,192,GCM,6.93
256,192,OFB,0.65
256,256,CBC,1.88
256,256,CFB,0.87
256,256,CTR,1.06
256,256,ECB,1.67
256,256,GCM,6.46
256,256,OFB,0.76
512,128,CBC,2.10
512,128,CFB,1.22
512,128,CTR,1.49
512,128,ECB,1.80
512,128,GCM,9.55
512,128,OFB,1.52
512,192,CBC,3.29
512,192,CFB,1.26
512,192,CTR,1.67
512,192,ECB,2.33
512,192,GCM,6.38
512,192,OFB,1.27
512,256,CBC,3.61
512,256,CFB,1.85
512,256,CTR,1.57
512,256,ECB,3.03
512,256,GCM,7.68
512,256,OFB,1.46
